fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CLNEq67hc-a,891,,38
03/11/21,CLHxChVB2T-,1901,,94
03/11/21,CLKlaElhvzb,1764,,109
03/11/21,CLNP4AdB9La,8125,,106
03/11/21,CLA9w3wBGia,954,8272.0,135
03/11/21,CK4JDJWBX-W,2200,,77
03/11/21,CK2QoaJhHnJ,5139,,394
03/11/21,CLCtBOfBRQ7,2504,,78
03/11/21,CK635L4hL3s,800,,36
03/11/21,CK7q8ceBnA8,3149,103955.0,269
03/11/21,CK9cz6ohzBL,4571,,142
03/11/21,CK9utIAhRUJ,4250,,613
03/11/21,CK41AQzgUPt,2120,,380
03/11/21,CLAf-BjFN3d,913,9083.0,61
03/11/21,CLABW9QBDkj,2703,,168
03/11/21,CK7GM1IBcLW,9152,,314
03/11/21,CKrobmOg7zB,2731,,651
03/11/21,CK19U6tgkbq,1959,,461
03/11/21,CKpZW0aBDGc,2754,,304
03/11/21,CKzOn4UBcEr,2623,,490
03/11/21,CKrVjSgjyOt,1947,,224
03/11/21,CKxOfGiBP_G,2336,,178
03/11/21,CKpLRHbBDfc,3330,25164.0,1327
03/11/21,CKy-yUYjHUl,2588,,102
03/11/21,CK1e0kIhIJ5,7453,,316
03/11/21,CKz7mLvhOiP,2274,,361
03/11/21,CKzrahNJZvK,946,,42
03/11/21,CKpp4uLBtxz,5183,,678
03/11/21,CKe4OZ5B76q,2366,,177
03/11/21,CKkIfQABxgH,1872,,139
03/11/21,CKaEWnshl3i,4728,,10141
03/11/21,CKcPKINhG5N,4882,,345
03/11/21,CKmdIJehKBJ,4861,,359
03/11/21,CKhHhq3jf1j,16559,,481
03/11/21,CKkowMvBBd_,4095,,141
03/11/21,CKeheObAK8v,1119,13785.0,62
03/11/21,CKj8BUKBkbs,1681,,80
03/11/21,CKm64bqhB4r,1037,,229
03/11/21,CKmKPjghZMB,967,21259.0,114
03/11/21,CKcgRtjgkte,2304,,315
03/11/21,CKWmnRuHPoX,677,7556.0,133
03/11/21,CKO_FnPF8zz,867,11530.0,123
03/11/21,CKUWbDjBxi3,669,6637.0,232
03/11/21,CKZm4DbJv8K,600,7697.0,370
03/11/21,CKZZJIUHsHM,5627,,575
03/11/21,CKXao99hoyh,3909,,276
03/11/21,CKXg-wFj8CT,2871,24788.0,2468
03/11/21,CKW7OSdnUe3,909,10093.0,452
03/11/21,CKVKo6qBjkY,2043,,160
03/11/21,CKQHUTtBSuu,1793,,1118
03/11/21,CKXPzjIgQro,1581,,222
03/11/21,CKPvKUOLm8L,674,6510.0,110
03/11/21,CKEoeiGHAsT,771,7796.0,61
03/11/21,CKIVYj4qW54,2491,,72
03/11/21,CKKg7MOBny_,1978,,80
03/11/21,CKC7T-tBniC,744,12611.0,45
03/11/21,CKIIkxFBzKY,1249,18715.0,27
03/11/21,CKMrdh5BhoG,985,8053.0,10171
03/11/21,CKH2qSYh4vb,771,11014.0,20
03/11/21,CKNeY3xhm5V,3284,,189
03/11/21,CKFbvSHBxgp,2399,,84
03/11/21,CKCBD7WhwaH,710,12164.0,229
03/11/21,CKCeOogJRi_,3774,,151
03/11/21,CKMqHj-hiH9,2230,,65
03/11/21,CJ67EjyBJ-n,1688,,68
03/11/21,CJ7bgCIq4s1,3084,,115
03/11/21,CJtoJ5SB0Fh,1454,19883.0,132
03/11/21,CJzMrL3JBtB,1337,16427.0,873
03/11/21,CJygM8_BHpF,783,17226.0,53
03/11/21,CJ_lweolKgy,1748,,54
03/11/21,CJ9hk5vBgyi,2660,,76
03/11/21,CJ14Vm6JA2u,1659,30410.0,160
03/11/21,CJ7Dpa4Jr6i,1414,,36
03/11/21,CKAT3K0hmqI,5339,,131
03/11/21,CJ89haHlBUO,1074,,49
03/11/21,CJ6uI2WBXUY,5967,101934.0,187
03/11/21,CJorxstBGxz,1732,,47
03/11/21,CJfBynUo2LD,3347,,133
03/11/21,CJeed70hRBM,1258,,19
03/11/21,CJgxogzBhRX,7701,,258
03/11/21,CJepwJEhy10,1650,,27
03/11/21,CJhAYM3BT2i,1415,,99
03/11/21,CJpClWSH69x,890,15576.0,249
03/11/21,CJmHqQUhckw,2380,,121
03/11/21,CJe4uQFhUJe,1351,,21
03/11/21,CJrgV0jh12P,3132,,223
03/11/21,CJejVqpBoSJ,1991,,24
03/11/21,CJoXKuVJ05F,1283,,38
03/11/21,CJcXMlXhTBw,1597,,55
03/11/21,CJT-sHrBTo-,6828,,139
03/11/21,CJb0oZIhDYI,2113,,58
03/11/21,CJcNSUphOlj,1135,,29
03/11/21,CJUUQByBBj-,2626,,13
03/11/21,CJXWPaLhzuH,4457,,77
03/11/21,CJWjV6og-2R,5276,,96
03/11/21,CJZxVPfjJY5,2209,,66
03/11/21,CJePIwLBZti,2591,,50
03/11/21,CJZNeNFMlgk,1340,20696.0,63
03/11/21,CJeVyvTBl_N,1788,,26
03/11/21,CJZgSiYB4Ei,4810,,103
03/11/21,CJO70mJhqAO,5549,,60
03/11/21,CJMgmjDB5rp,4284,,37
03/11/21,CJOsoXBBbRD,2409,,18
03/11/21,CJOwueyBcSk,1791,,13
03/11/21,CJJ_IHRhAbu,1759,,18
03/11/21,CJMCt5YBWxu,1583,,38
03/11/21,CJRBtk_nVuq,1174,21914.0,32
03/11/21,CJPJwLfhwUM,3191,,50
03/11/21,CJR1YE9B_-b,2718,,48
03/11/21,CJKG0-Hgq-A,5132,,57
03/11/21,CJRoSD4hm06,2035,,25
03/11/21,CJMkwiEAkxv,4907,,67
03/11/21,CJCI_ael91d,1152,,20
03/11/21,CJHAg7NjH9I,1032,13645.0,58
03/11/21,CI__oh3B1li,2145,,67
03/11/21,CJEhxYiFTgl,1914,,94
03/11/21,CJCfdHlhFaI,7328,,110
03/11/21,CI9cleuH3m1,1748,,33
03/11/21,CI9SpT6h9IP,1655,,14
03/11/21,CJHnP1YBNXx,1272,,41
03/11/21,CJCS7C3Bc0j,1645,,18
03/11/21,CI_HBL_HxVg,2058,,35
03/11/21,CJJvxREBl6a,2009,,15
03/11/21,CI88M57gWB1,3298,,61
03/11/21,CI3pzHHpsgj,4879,,47
03/11/21,CI6qxsyh6Bz,1847,,46
03/11/21,CI4YfNVBXfk,2060,,58
03/11/21,CI3wqQYlojf,933,,19
03/11/21,CI1qxI5HPEM,2886,,75
03/11/21,CI6BBuug3xj,1268,32697.0,62
03/11/21,CI8pFUZHT7_,19673,,2324
03/11/21,CI3jR0SgzrC,2179,41282.0,26
03/11/21,CI369yiHobo,658,8328.0,11
03/11/21,CI1BkhUJrXq,1828,,14
03/11/21,CIrUKRJhBYx,3962,,54
03/11/21,CItFcnogLNT,1816,,44
03/11/21,CIrPAxZl-ZC,7734,,116
03/11/21,CIynGPxlIhD,935,11554.0,33
03/11/21,CIwQAfpDk4u,1712,,65
03/11/21,CI1YPtzhO9h,2259,,30
03/11/21,CIt99CQhOVS,3197,,52
03/11/21,CIwA-Bah0dB,2843,,26
03/11/21,CIzCiYrH0op,1352,,22
03/11/21,CI1gd4nBSD1,877,10952.0,17
03/11/21,CIzUZR1B1JW,2729,,47
03/11/21,CIbeUJHB7h-,1764,,47
03/11/21,CIooBVoBcRu,4950,49308.0,425
03/11/21,CImKj3MHSNa,1564,,27
03/11/21,CIjlx9FIZD7,3550,,92
03/11/21,CIoqZmnhGXF,15946,,1154
03/11/21,CIjPJtGBOE2,2325,,31
03/11/21,CId51_ygfKQ,5275,,143
03/11/21,CIi8ky-BBsx,932,11136.0,97
03/11/21,CImTsEyhp8X,1739,,54
03/11/21,CIenqqcBJIB,8319,,108
03/11/21,CIrEGksFfZp,981,,15
03/11/21,CIhCs6aDd2G,1789,,150
03/11/21,CIWORImBZz_,2826,,22
03/11/21,CIZZdeUH1GL,3072,,50
03/11/21,CIWm9uPhGu2,622,7414.0,2
03/11/21,CIbHVIKhcVc,541,6807.0,29
03/11/21,CIZWaKaBM-K,5206,,63
03/11/21,CIYjW_xh6xL,3126,,889
03/11/21,CIWxPNYI4XN,6657,,122
03/11/21,CIWewKrB2NB,554,6241.0,5
03/11/21,CIUP3sQol8w,8066,,179
03/11/21,CIWWUpkBPIk,1619,,15
