fetch date,streaming platform,hrefs,page ids,page bios,follower count,following count,post number
03/09/21,netflix,https://www.instagram.com/netflix/,207587378,@strongblacklead every month is Black history month,26577084,977,3613
03/09/21,disneyplus,https://www.instagram.com/disneyplus/,7522677467,#WomenBeyondLimits: Celebrate their inspiring and empowering stories on #DisneyPlus.,3933952,208,1220
03/09/21,hbomax,https://www.instagram.com/hbomax/,15756602186,Now streaming all your faves and so much more.,951011,289,901
03/09/21,hulu,https://www.instagram.com/hulu/,191074609,brb trying to find my fave flower hat #90s4eva,1022608,425,1363
